,C,gamma,kernel,class_weight,val_accuracy
0,0.01,auto,rbf,balanced,0.9888132295719845
1,0.01,auto,rbf,,0.9888132295719845
2,0.01,auto,poly,balanced,0.9878404669260701
3,0.01,auto,poly,,0.9873540856031129
4,0.01,auto,sigmoid,balanced,0.9596303501945526
5,0.01,auto,sigmoid,,0.9596303501945526
6,0.01,scale,rbf,balanced,0.9873540856031129
7,0.01,scale,rbf,,0.9888132295719845
8,0.01,scale,poly,balanced,0.9878404669260701
9,0.01,scale,poly,,0.9873540856031129
10,0.01,scale,sigmoid,balanced,0.9610894941634242
11,0.01,scale,sigmoid,,0.9649805447470817
12,1.0,auto,rbf,balanced,0.9883268482490273
13,1.0,auto,rbf,,0.9883268482490273
14,1.0,auto,poly,balanced,0.9878404669260701
15,1.0,auto,poly,,0.9873540856031129
16,1.0,auto,sigmoid,balanced,0.9878404669260701
17,1.0,auto,sigmoid,,0.9873540856031129
18,1.0,scale,rbf,balanced,0.9888132295719845
19,1.0,scale,rbf,,0.9888132295719845
20,1.0,scale,poly,balanced,0.9878404669260701
21,1.0,scale,poly,,0.9873540856031129
22,1.0,scale,sigmoid,balanced,0.9571984435797666
23,1.0,scale,sigmoid,,0.943579766536965
